case,judges
62015CJ0292,"Juhász, Jürimäe, Lycourgos, Vajda, von Danwitz"
62015CJ0294,"Ilešič, Jarašiūnas, Prechal, Rosas, Toader"
62015CJ0297,"Berger, Biltgen, Borg Barthet, Cruz Vilaça, Levits"
62015CJ0300,"Biltgen, Borg Barthet, Levits"
62015CJ0304,"Jarašiūnas, Rosas, Toader"
62015CJ0310,"Malenovský, Safjan, Šváby"
62015CJ0318,"Juhász, Jürimäe, Lycourgos, Vajda, von Danwitz"
62015CJ0327,"Ilešič, Jarašiūnas, Prechal, Rosas, Toader"
62015CJ0332,"Jarašiūnas, Rosas, Toader"
62015CJ0335,"Malenovský, Safjan, Šváby"
62015CJ0341,"Biltgen, Borg Barthet, Levits"
62015CJ0358,"Ilešič, Jarašiūnas, Prechal, Rosas, Toader"
62015CJ0387,"Jarašiūnas, Prechal, Toader"
62015CJ0400,"Malenovský, Safjan, Šváby"
62015CJ0401,"Ilešič, Jarašiūnas, Prechal, Rosas, Toader"